C�digo;Denominaci�n;Rubro;Marca;Precio Compra
1261;CHOCOLATE AGUILA 70% X150 GR - AGUILA;SIN TACC;AGUILA;10739
1262;CHOCOLATE AGUILA X225 GR - AGUILA;SIN TACC;AGUILA;8030
1263;CHOCOLATE REPOSTERO SEMIAMARGO - AGUILA;REPOSTER�A;AGUILA;9932
1264;CHOCOLATE AGUILA 60% X150 GR - AGUILA;SIN TACC;AGUILA;9667
1265;CEPILLO DE BAMBU MEDIO - MERAKI (x U.);COSMETICA;MERAKI;3303
1266;CEPILLO DE BAMBU DURO - MERAKI (x U.);COSMETICA;MERAKI;3303
1267;TINTURA MADRE CARDO MARIANO - DROGUERIA ARGENTINA;LABORATORIO;DROGUERIA ARGENTINA;14491
1268;POROTO DE SOJA - GRANEL;GRANOS Y LEGUMBRES;GRANEL;4409
1269;MEONA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2465
127;VITAMINA B12 BEBIBLE X 250CC - NATIER;LABORATORIO;NATIER;13910
1270;CHA�AR - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2189
1271;CHACHACOMA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3835
1272;CHARRUA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4073
1273;COCU - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3055
1274;CONGOROSA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2172
1275;DORADILLA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2508
1276;EFEDRA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3548
1277;ESPINO COLORADO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3048
1278;ESTIGMA DE MAIZ - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2848
1279;EUFRASIA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;7486
128;ALMOHADITAS LASFOR CHOCOLATE - LASFOR;CEREALES;LASFOR;14641
1280;HIERBAS GRANEL OLIVO;HIERBAS MEDICINALES;GRANEL;13510
1281;BARRITA INTEGRA SIN TACC CHOCOLATE;SIN TACC;INTEGRA;1717
1282;LECHE DE COCO X 1 L SIN AZUCAR - SILK;LECHES VEGETALES;silk;6389
1283;NOT PROTEIN BAR CHOCOMANI X 35GR - NOTCO;VEGANOS;NOTCO;2494
1284;COLA DE QUIRQUINCHO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3787
1285;HELIOTROPUM - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2436
1286;U�A DE GATO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;6402
1287;NOGAL - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2273
1288;FRANGULA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3642
1289;TUSCA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3366
129;NOT MILK LIVIANA X 1L;LECHES VEGETALES;NOTCO;8815
1290;VERBENA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2019
1291;MELILOTO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2315
1292;FOSFOSA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2262
1293;MARRUBIO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2289
1294;SANALOTODO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2196
1295;YERBA LARCA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2503
1296;SANGUINARIA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2110
1297;ROSA MOSQUETA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;6962
1298;RUIBARDO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4103
1299;SARANDI - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2329
13;SALSA DE SOJA FUMEIGA BAJA EN SODIO - FUMEIGA;SALSAS Y ADEREZOS;FUMEIGA;3794
130;EMBUTIDO DE SOJA AJO Y ESPECIAS - MI SOJA;FRESCOS Y CONGELADOS;MI SOJA;4827
1300;MEJORANA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2711
1301;REGALIZ - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;5997
1302;MU�A MU�A - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2556
1303;RETAMILLA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3313
1304;PALO PICHI - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2744
1305;LAPACHO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;5560
1306;FRESNO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2513
1307;MERMELADA SIN AZUCAR DE NARANJA X 380GR;SIN AZ�CAR;BRUCOR;7976
1308;GINKGO BILOBA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3477
1309;HENNA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;18421
131;SEIT�N - VEGAN TIME;FRESCOS Y CONGELADOS;VEGAN TIME;14295
1310;HIPERICON - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3557
1311;HISOPO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3348
1312;INCAYUYO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2539
1313;PALO AZUL - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3780
1314;PAJARO BOBO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;1957
1315;LLANTEN - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3112
1316;MUERDAGO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3373
1317;PAICO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2583
1318;POLEO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2496
1319;ZARZAPARRILLA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3562
132;LINO - GRANEL (x Kg.);SEMILLAS;GRANEL;6986
1320;YERBA DEL POLLO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3064
1321;COLAGENO BEBIBLE VIT C Y Q10 - VITAMIN WAY;LABORATORIO;VITAMIN WAY;41777
1322;INFUSION YOGA ZEN SAINT G X 20;INFUSIONES Y TES;SAINT GOTTARD;5343
1323;WHEY PROTEIN 453GR VAINILLA - ENA;SUPLEMENTOS DEPORTIVOS;ENA;41962
1324;MILANESA DE SOJA Y ZAPALLO - DO�A ANTONIA;FRESCOS Y CONGELADOS;DO�A ANTONIA;5542
1325;MILANESA DE SOJA CLASICA - DO�A ANTONIA;FRESCOS Y CONGELADOS;DO�A ANTONIA;5542
1326;MILANESA DE SOJA Y REMOLACHA - DO�A ANTONIA;FRESCOS Y CONGELADOS;DO�A ANTONIA;5542
1327;MILANESA DE SOJA Y BROCOLI - DO�A ANTONIA;FRESCOS Y CONGELADOS;DO�A ANTONIA;5542
1328;NATURITOS BANANA X 90GR- GRANIX;CEREALES;GRANIX;2093
1329;SALSA DE SOJA FUMEIGA CREMOSA - FUMEIGA;SALSAS Y ADEREZOS;FUMEIGA;5483
133;HARINA DE LINO - GRANEL;SEMILLAS;GRANEL;4429
1330;YERBA DE LA PIEDRA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3296
1331;CONTRAYERBA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3306
1332;CASTA�O DE INDIAS - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;17602
1333;EQUINACEA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3434
1334;JARILLA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2357
1335;SOMBRA DE TORO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2086
1336;TASIS RAIZ - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2569
1337;UVA URSI - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;7377
1339;SALSA INGLESA E/PET 150CC - CEPERA;SALSAS Y ADEREZOS;CEPERA;5504
134;EMBUTIDO DE SOJA TAILAND�S - MI SOJA (x U.);FRESCOS Y CONGELADOS;MI SOJA;11275
1340;TORTITAS SIBO X 3U - ATIPICO;SIN TACC;ATIPICO;9532
1341;GALLETAS MANI ALMENDRAS X 200GR - INTEGRA;PANIFICADOS;INTEGRA;3383
1342;VINAGRE DE JEREZ 250CC - YBARRA;VARIOS;YBARRA;28751
1343;AZAFRAN RUEDO MOLIDO X 1 CAP 0.20GR - RUEDO;ESPECIAS Y CONDIMENTOS;RUEDO;4996
1344;BARRITA PROTEICA MANI CHOCOLATE - INTEGRA;VARIOS;INTEGRA;2033
1345;MOSTAZA AMARILLA MOLIDA - GRANEL;SEMILLAS;GRANEL;16431
1346;CHOCOLATE DR CACAO 100% - DR CACAO;SIN TACC;DR CACAO;13294
1347;CHOCOLATE DR CACAO 80% - DR CACAO;SIN TACC;DR CACAO;11813
1348;CHOCOLATE DR CACAO 70% CON AZUCAR ORGANICO;SIN TACC;DR CACAO;9587
1349;RUDA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2722
135;POROTO ALUBIA - GRANEL;GRANOS Y LEGUMBRES;GRANEL;14463
1350;BARRA PROTEICA COCO NATURAL 45GR - KI BAR (x U.);VARIOS;KI BAR;2136
1351;HOT TACO SAUCE X 200GR (x U.);SALSAS Y ADEREZOS;POCO LOCO;27520
1352;ALFAJOR LOW FREE KETO SIN AZUCAR - ATIPICO (x U.);SIN TACC;ATIPICO;4607
1353;CREMA DE PISTACHO NATURAL X 220GR (x U.);SIN TACC;FELICES LAS VACAS;34951
1354;JABON OLIVA 90GR (x U.);COSMETICA;COSMETICA BAQUERO;7953
1355;NOT MILK SIN AZUCAR X 1L;LECHES VEGETALES;NOTCO;8815
1356;FRUTA ESCURRIDA (x Gr.);DESECADOS;FRUCOR;16099
1357;COOKIES LIM�N - NATUZEN (x bol.);SIN TACC;NATUZEN;2250
1358;COOKIES NARANJA (x bol.);SIN TACC;NATUZEN;2250
1359;PRE MEZCLA PARA PIZZA X 450 GRS - NATUZEN (x U.);SIN TACC;NATUZEN;5733
136;YOGURT GRIEGO X 1 L. - YOGURLAC;FRESCOS Y CONGELADOS;YOGURLAC;5022
1360;HOJAS DE PARRA x 500GR (x U.);DELICATESSEN;CRISTO DE LOS CERROS;19715
1361;CREMA DE CEBOLLAS ASADAS (x U.);DELICATESSEN;CASA DE LA TORRE;5182
1362;CHOCOLATE REPOSTERO CON LECHE - AGUILA;REPOSTER�A;AGUILA;9932
1363;MANTECA DE CACAO;LABORATORIO;HERBOTECA;3957
1364;MANZANA DESHIDRATADA - GRANEL;DESECADOS;PANQUEHUA;101317
1365;PASTA DE DIENTES VVOK CON DOSIFICADOR;VEGANOS;VVOK;22900
1366;LONGANIZA SIN GLUTEN VEGANYA;VEGANOS;VEGANYA;7033
1367;CALZON CALABRESA - VEGANHUEL;VEGANOS;VEGANHUEL;12991
1368;RAVIOLES YAMANI VERDURA - YAMANI;VEGANOS;YAMANI;9253
1369;OMEGA 3 ACEITE DE PESCADO X 60 CAPS VITAMIN WAY;LABORATORIO;VITAMIN WAY;24861
137;SAL ROSA GRUESA - GRANEL;VARIOS;GRANEL;10631
1370;HIERBAS GRANEL ARNICA FLOR;HIERBAS MEDICINALES;GRANEL;108694
1371;CACAO EN POLVO DR CACAO;SIN TACC;DR CACAO;9328
1372;ALFAJOR CHOCOLATE BLANCO - FELICES LAS VACAS;VEGANOS;FELICES LAS VACAS;2058
1373;POSTRE SABOR DULCE DE LECHE X 170GR FELICES LAS VACAS;VEGANOS;FELICES LAS VACAS;3509
1374;POSTRE SABOR CHOCOLATE X 170GR FELICES LAS VACAS;VEGANOS;FELICES LAS VACAS;3509
1375;BABAGANUSH X 200GR - RECETAS DE ENTONCES;SALSAS Y ADEREZOS;RECETAS DE ENTONCES;6718
1376;MOLINILLO PIMENTERO;VARIOS;HERBOTECA;55905
138;TOMATE SECO PRIMERA - GRANEL;DESECADOS;GRANEL;33418
1380;FRUTOS ROJOS MIX CLASICO X 500GR - BERRIES MENDOZA;FRESCOS Y CONGELADOS;BERRIES MENDOZA;9874
1381;FRUTOS ROJOS MIX CLASICO X 1K - BERRIES MENDOZA;FRESCOS Y CONGELADOS;BERRIES MENDOZA;17769
1382;ACIDO ASCORBICO;LABORATORIO;HERBOTECA;30801
1383;CLOROFILA BEBIBLE NATIER x 250cc;LABORATORIO;NATIER;14099
1384;XILITOL NATIER;EDULCORANTES;NATIER;34360
1385;MAGNESIO CITRATO 50 CAPS - NATIER;LABORATORIO;NATIER;21767
1386;GELATINA EXQUISITA TODOS LOS SABORES X 25 GR;SIN AZ�CAR;EXQUISITA;1476
1387;TOSTADAS DE ARROZ X 120GR - CRACKINES;SIN TACC;CRACKINES;3055
1388;MILA SABOR POLLO 2 U. - FELICES LAS VACAS;FRESCOS Y CONGELADOS;FELICES LAS VACAS;5227
1389;NOT PROTEIN BAR BERRY PIE - NOTCO;VEGANOS;NOTCO;2781
139;DATILES EGIPCIOS CON CAROZO - HERBOTECA;DESECADOS;HERBOTECA;14805
1390;AZUCAR DE FLOR DE COCO X 250GR - GOD BLESS YOU;REPOSTER�A;GOD BLESS YOU;11196
1391;COLAGENO + CALCIO X 60 CAP VW - VITAMIN WAY;LABORATORIO;VITAMIN WAY;18428
1392;SALCHICHA X 5U - VEGGIELAND;FRESCOS Y CONGELADOS;VEGGIELAND;7517
1393;MEDALLON CHIA Y CALABAZA X 300GR - SOYLAND;SIN TACC;SOYLAND;5614
1394;CHURRASCO DE SEITAN X 4U - GREEN DRAGON;VEGANOS;GREEN DRAGON;8897
1395;COSTILLAS DE SEITAN;VEGANOS;SUR VEGANO;7702
1396;PEPAS MEMBRILLO 300GR MELTAIM;VEGANOS;MELTAIM;7276
1397;KOMBUCHA NARANJA MANGO X 473ML;VARIOS;BRAVIA;5126
1398;PANQUEQUE DE AVENA Y CHOCOLATE X 4U 268GR - BYGIRO;VEGANOS;BYGIRO;6418
1399;PANQUEQUE DE AVENA Y BANANA X 4U 268GR - BYGIRO;VEGANOS;BYGIRO;4693
14;SALSA DE SOJA FUMEIGA - FUMEIGA;SALSAS Y ADEREZOS;FUMEIGA;5601
140;CASCARA DE NARANJA GLASEADA;DESECADOS;GRANEL;54802
1400;PANQUEQUE DE AVENA CLASICO x 6U - BYGIRO;VEGANOS;BYGIRO;8027
1401;MILANESA DE SOJA Y ESPINACA - DO�A ANTONIA;FRESCOS Y CONGELADOS;DO�A ANTONIA;5542
1402;QUESO UNTABLE CREMA X 160GR - QU;VEGANOS;QU;6297
1403;GRANA MULTICOLOR - GRANEL;REPOSTER�A;GRANEL;4198
1404;ALFAJOR INTEGRAL;PASTAS, PANIFICADOS Y REPOSTERIA;HERBOTECA;895
1405;CREATINE BEST FRUIT X 300 GRS SPX;SUPLEMENTOS DEPORTIVOS;SPX;48558
1406;ALGAS KOMBU X 100 GRS;VARIOS;;17728
1407;KOMBUCHA SUPERBERRY X 473ML - BRAVIA;VARIOS;BRAVIA;5126
1408;KOMBUCHA GINGER LEMON X 473ML;VARIOS;BRAVIA;5126
1409;TOFU ORGANICO FIRME X 300GR - SOYLAND;ORGANICOS;SOYLAND;9220
141;FRUTA GLASEADA SURTIDA - HERBOTECA (x Kg.);DESECADOS;HERBOTECA;26316
1410;PRE MEZCLA BIZCOCHUELO QUINOA Y NARANJA - KIWICHA;VEGANOS;KIWICHA;5648
1411;STEVIA LIQUIDA X 200ML - KONY;EDULCORANTES;KONY;5519
1412;ALOE VERA JUAL X 250 CC ARANDANO;VARIOS;JUAL;16478
1413;TRIPLE INMUNIDAD X 30 COMP NATULIV;LABORATORIO;NATULIV;10505
1414;PLATINUM WHEY PROTEIN FRUTILLA STAR NUTRITION;SUPLEMENTOS DEPORTIVOS;STAR NUTRITION;83608
1415;MEDALLON CALABAZA Y CHOCLO 2 X 110G - FELICES LAS VACAS;FRESCOS Y CONGELADOS;FELICES LAS VACAS;3111
1416;TOSTADAS DE ARROZ SIN SAL X 150 GR - RISKY DIT;SIN TACC;RISKY DIT;2903
1417;HUMMUS X 200GR - RECETAS DE ENTONCES;SALSAS Y ADEREZOS;RECETAS DE ENTONCES;6753
1418;QUINOA POP CON ARANDANOS;CEREALES;YIN YANG;11904
1419;PRE MEZCLA BIZCOCHUELO QUINOA Y VAINILLA -KIWICHA;VEGANOS;KIWICHA;5648
142;MANI REPELADO SIN SAL - GRANEL (x Kg.);FRUTOS SECOS;GRANEL;9236
1420;PEPAS DE QUINOA - KIWICHA;VEGANOS;KIWICHA;6321
1422;FRUTILLAS CONGELADAS X 1K FENIX;FRESCOS Y CONGELADOS;FENIX;19598
1423;POLENTA;HARINAS;GRANEL;6682
1424;JUGO DE ARANDANOS CON STEVIA X 1,5L - CUARTO CRECIENTE;JUGOS;CUARTO CRECIENTE;4172
1425;SALSA TERIYAKI X 285G PAMPA GOURMET;SALSAS Y ADEREZOS;PAMPA GOURMET;6978
1426;INMUNO DEFENSE (x caj.);LABORATORIO;GEONAT;14865
1427;HIERBAS GRANEL FOSFOSA (x Kg.);HIERBAS MEDICINALES;GRANEL;17258
1428;CURCUMIN ASIAN X 30 COMP - GEONAT (x caj.);LABORATORIO;GEONAT;13504
143;MANI CON SAL - GRANEL (x Kg.);FRUTOS SECOS;GRANEL;9236
1430;VITAMINA D3 X 30 COMP GARDEN HOUSE (x caj.);LABORATORIO;GARDEN HOUSE;17897
1431;LAPACHO HIERRO X 500CC (x U.);LABORATORIO;BIOFIT;15700
1432;LAPACHO GINSENG X 500CC (x U.);LABORATORIO;BIOFIT;15700
1433;CHOCOLATE TABLETA GRANEL - AGUILA;REPOSTER�A;AGUILA;53165
1434;LECHE DE COCO X 1 L - SILK;LECHES VEGETALES;silk;6389
1435;VIGORCIN SEX MUJER (x caj.);LABORATORIO;GEONAT;21005
1436;MAGNESIO 400 X 30 COMP - GARDEN HOUSE (x caj.);LABORATORIO;GARDEN HOUSE;12095
1437;Ajo 1000 geonat (x caj.);LABORATORIO;GEONAT;12426
1438;PEPAS DE QUINOA CON CHOCOLATE - KIWICHA;VEGANOS;KIWICHA;7047
144;SAL MARINA FINA X 500 GRS MACROZEN - MACROZEN;VARIOS;MACROZEN;2743
1440;GLUTAMINA EN POLVO X 200GR - NATIER;LABORATORIO;NATIER;50410
1441;HIERBAS GRANEL SARANDI;HIERBAS MEDICINALES;GRANEL;18874
1442;LIBRETA SANITARIA;VARIOS;;8568
1443;SHAMPU SOLIDO ROMERO-ORTIGA VVOK;VEGANOS;VVOK;21172
1444;SHAMPU SOLIDO LIMON-AVENA VVOK;VEGANOS;VVOK;21172
1445;HIERBAS GRANEL SAUCO;HIERBAS MEDICINALES;GRANEL;103523
1446;PALMERITAS X 160GR - NAQUET;SIN TACC;NAQUET;4124
1447;PICADA SOJA 310GR FLV;VEGANOS;FELICES LAS VACAS;10129
1448;CORAZONES DE ALCAUCIL x 300gr.;DELICATESSEN;CASA DE LA TORRE;17008
1449;SALSA THAI X 300GR A PURO CHILI;SALSAS Y ADEREZOS;A PURO CHILI;8809
145;SAL MARINA GRUESA MACROZEN X 500 GRS - MACROZEN;VARIOS;MACROZEN;2743
1451;ALMENDRA LAMINADA (x Gr.);FRUTOS SECOS;;64046
1452;VEGAONE (x caj.);LABORATORIO;GEONAT;9548
1453;EXTRACTO OLEOSO DE OREGANO X 30CC - SUPPLY (x U.);LABORATORIO;SUPPLY;7340
1454;ADAPTOGENO VITA PAUSA X 60CC - SUPPLY (x U.);LABORATORIO;SUPPLY;26039
1455;BOLSA PARA SHAMPU SOLIDO (x U.);COSMETICA;SOFI;1735
1456;HIERBAS GRANEL CEIBO (x Kg.);HIERBAS MEDICINALES;GRANEL;54857
1459;CHIPS DE PAPAS RUSTICA Y SAL MARINA;SIN TACC;NUESTROS SABORES;2687
146;ARROZ YAMANI - GRANEL;ARROCES;GRANEL;8146
1460;MASALA - GRANEL (x Gr.);ESPECIAS Y CONDIMENTOS;;75223
1461;MELAZA DE CA�A EL NATURALISTA X 950 GRS;EDULCORANTES;EL NATURALISTA;16141
1462;EMBUTIDO SALAME X 160GR - VEGGIELAND;VEGANOS;VEGGIELAND;8172
1463;PURA FRUTTA MANZANA ORG�NICA - 1 litro (x pa.);ORGANICOS;PURA FRUTTA;6880
1464;MASA PARA EMPANADAS - PANYUCA (x U.);SIN TACC;PANYUCA;5754
1465;CRACKERS CON SEMILLAS X 150GR - SMAMS (x paq.);SIN TACC;SMAMS;6472
1466;CREMOSO X500 GR FELICES LAS VACAS;FRESCOS Y CONGELADOS;FELICES LAS VACAS;8968
1467;PAN PANCHO PANYUCA (x pa.);SIN TACC;PANYUCA;5090
1468;MORCILLA VEGANA (x U.);VEGANOS;VEGAN TIME;10438
1469;TEFFITAS;VEGANOS;DAR SUPERFOOD;2786
147;HARINA INTEGRAL - GRANEL;HARINAS;GRANEL;3951
1470;HARINA INTEGRAL ORGANICA X 1K - BROTES DE TRASLASIERRA;ORGANICOS;BROTES DE TRASLASIERRA;7706
1471;SALSA DE TOMATE 370ML TERRASANA (x U.);ORGANICOS;TERRASANA;4947
1472;HIERBAS GRANEL COCU (x U.);HIERBAS MEDICINALES;GRANEL;36305
1473;INTI ZEN YOGA 15 SAQ (x U.);INFUSIONES Y TES;INTI ZEN;7950
1474;NOT PROTEIN BAR NETFLIX X 35GR - NOTCO (x U.);VEGANOS;NOTCO;2494
1475;CARBONES REDONDOS (x U.);VARIOS;VAL-CAR;499
1476;JUGO NARANJA X 90GR - ZUMMY (x U.);JUGOS;ZUMMY;1878
1477;CROWIE LIMON;SIN TACC;CROWIE;666
1478;BURGUER POLLO CRISPY X 160GR -;VEGANOS;VEGGIELAND;5557
1479;MOSTAZA MARRON GRANO - GRANEL;HARINAS Y SEMILLAS;GRANEL;30101
148;AVENA GRUESA - GRANEL;HARINAS;GRANEL;5390
1480;BARRITA INTEGRA SIN TACC ARANDANOS (x U.);SIN TACC;INTEGRA;1717
1481;HIERBAS GRANEL ALCACHOFA (x Kg.);HIERBAS MEDICINALES;GRANEL;20153
1482;COLA DE PAVO X 60CC - SINERGIA (x U.);LABORATORIO;SINERGIA;31070
1483;SALMON VEGANO (x U.);FRESCOS Y CONGELADOS;VEGANYA;8776
1484;KARNEVIL PARTY x 2U 80GR - FELICES LAS VACAS;VEGANOS;FELICES LAS VACAS;3742
1485;GALLETAS ORGANICAS CACAO X 170GR - CACHAFAZ (x U.);ORGANICOS;CACHAFAZ;2806
1486;ADAPTOGENO SCHISANDRA X 60CC - SUPPLY;LABORATORIO;SUPPLY;22544
1487;NOT DULCE DE LECHE X 250GR;VEGANOS;NOTCO;6093
1488;HIERBAS GRANEL CARDO SANTO;HIERBAS MEDICINALES;GRANEL;27080
1489;KETO WEIGHT;SUPLEMENTOS DEPORTIVOS;GEONAT;69988
149;AVENA INSTANTANEA - GRANEL;HARINAS;GRANEL;5076
1490;FREEDIET;SUPLEMENTOS DEPORTIVOS;GEONAT;32689
1492;PATAGONIA TILO,MELISA,TE VERDE Y NARANJO;INFUSIONES Y TES;PATAGONIA;8162
1493;TINTURA MADRE MACA DROGUERIA ARGENTINA;LABORATORIO;DROGUERIA ARGENTINA;13210
1494;BUDIN NARANJA KETO Y SIN LACTOSA X 270GR - ATIPICO;SIN TACC;ATIPICO;10436
1495;BUDIN CARROTCAKE KETO Y SIN LACTOSA X 270GR - ATIPICO;SIN TACC;ATIPICO;10436
1496;JUGO MANZANA X 90GR - ZUMMY;JUGOS;ZUMMY;1878
1497;COLINA NATIER X 50 CAPSULAS;LABORATORIO;NATIER;21443
1498;VITAMINA B12 NATIER X 50 CAPSULAS;LABORATORIO;NATIER;20186
1499;L-CITRULINA X 300 GRS STAR NUTRITION;SUPLEMENTOS DEPORTIVOS;STAR NUTRITION;100607
15;AVENA MEDIANA - GRANEL;HARINAS;GRANEL;5390
150;TEXTURIZADO DE SOJA MEDIANO - GRANEL;GRANOS Y LEGUMBRES;GRANEL;6888
1501;ALFAJOR ANGIOLA DULCE DE LECHE;SIN TACC;ANGIOLA;1717
1502;PLATA COLOIDAL X 300ML (x U.);LABORATORIO;S650;25564
1503;CEPILLO DE BAMBU KIDS - MERAKI (x U.);COSMETICA;MERAKI;3303
1504;CEPILLO DE BAMBU SUAVE - MERAKI (x U.);COSMETICA;MERAKI;3303
1505;CEREZA GLASEADA (x Kg.);DESECADOS;;24784
1506;GARRAPI�ADA DE ALMENDRA (x Kg.);DELICATESSEN;HERBOTECA;26029
1507;PROTEIN BAR LEMON PIE - ENA;SUPLEMENTOS DEPORTIVOS;ENA;2431
1508;PROTEIN BAR FRUTILLA A LA CREMA - ENA;SUPLEMENTOS DEPORTIVOS;ENA;2431
1509;PAN DE LOMO X 2U KETO Y SIN LACTOSA - ATIPICO;SIN TACC;ATIPICO;8233
151;ARROZ INFLADO - GRANEL;CEREALES;GRANEL;16640
1510;FRUTILLAS CONGELADAS X500 gs FENIX;FRESCOS Y CONGELADOS;FENIX;10217
1511;ACEITE DE RICINO - AGROPATAGONIA;ACEITES COSMETICOS;AGROPATAGONIA;5416
1512;QUINOA POP CON ALGARROBA (x Kg.);CEREALES;YIN YANG;13789
1514;PRE MEZCLA PAN CON PSYLLIUM HUSK X 450GR - DICOMERE;SIN TACC;DICOMERE;3510
1515;CARAMELOS SIN AZUCAR MENTOL - ICY;SIN TACC;ICY;2460
1516;ACEITE DE COCO NEUTRO X 360CC CHIA GRAAL;ACEITES COMESTIBLE;CHIA GRAAL;11863
1517;NOT MILA CARNE x 220GR;VEGANOS;NOTCO;6475
1518;POMELO RODAJAS;DESECADOS;PANQUEHUA;98991
1519;MOSTAZA HEINZ X 368GR;SALSAS Y ADEREZOS;HEINZ;8335
152;AJINOMOTO - GRANEL;ESPECIAS Y CONDIMENTOS;GRANEL;14990
1520;HIERBAS GRANEL MATAPULGAS;HIERBAS MEDICINALES;GRANEL;25025
1521;HIERBAS GRANEL SALVIA MORADA;HIERBAS MEDICINALES;GRANEL;27879
1522;MUFFIN ARANDANO KETO Y SIN LACTOSA - ATIPICO;SIN TACC;ATIPICO;4828
1523;ALBONDIGAS X 12U. SOJA - GREEN DRAGON (x U.);VEGANOS;GREEN DRAGON;5615
1524;TALLARINES H. DE QUINOA X 500G;VEGANOS;QUINOA CATAMARCA;9656
1525;PENNE RIGATE H. QUINOA X 500G;VEGANOS;QUINOA CATAMARCA;9656
1526;CROCANTE DE TOFU X 4U;VEGANOS;BIGREEN;8152
1528;QUESO VEGETAL SEMI DURO;FRESCOS Y CONGELADOS;TAHIEL;3505
1529;GALLETA CHOCOLATE SIN AZUCAR - ANGIOLA;SIN TACC;ANGIOLA;2935
153;CASCARILLA DE CACAO ENTERA - GRANEL;REPOSTER�A;GRANEL;15614
1530;GALLETA NARANJA SIN AZUCAR - ANGIOLA;SIN TACC;ANGIOLA;2935
1531;CHIPS BATATITAS CON SAL MARINA;SIN TACC;NUESTROS SABORES;2687
1532;SCONS AMARANTO Y LIMON -KIWICHA;VEGANOS;KIWICHA;4795
1533;NARANJA RODAJAS;DESECADOS;PANQUEHUA;98991
1534;CURCUMA PLUS X 30 CAPS - GEONAT;LABORATORIO;GEONAT;15914
1535;DELGAX PLUS;LABORATORIO;GEONAT;16059
1536;ESPIRULINA 500 X 60 COMP GEONAT;LABORATORIO;GEONAT;12705
1537;GLUCOCARTIFLEX X 42 SOBRES;LABORATORIO;ISA;50588
1538;MCT PREMIUM PETACA X 200ML - GOD BLESS YOU;ACEITES COMESTIBLE;GOD BLESS YOU;20679
1539;YERBA MATE TITRAYJU X 1K;ORGANICOS;TITRAYJU;13206
154;ALBAHACA - GRANEL;ESPECIAS Y CONDIMENTOS;GRANEL;32124
