C�digo;Denominaci�n;Rubro;Marca;Precio Compra
1058;SPIRULINA SILUET X 60 CAP - VITAMIN WAY;LABORATORIO;VITAMIN WAY;14990
1059;SPIRULINA SILUET X 30 CAP;LABORATORIO;VITAMIN WAY;8014
106;CERA DEPILATORIA EL NATURALISTA X 200 GRS - EL NATURALISTA;COSMETICA;EL NATURALISTA;6132
1060;HIERBAS GRANEL YERBA NEGRA O DEL SOLDADO;HIERBAS MEDICINALES;GRANEL;33682
1061;PAN DE MOLDE KETO Y SIN LACTOSA - ATIPICO;SIN TACC;ATIPICO;9119
1062;ADAPTOGENO MELENA DE LEON X 60CC - SUPPLY;LABORATORIO;SUPPLY;22544
1063;CAPS KRILL - FRAMINGHAM;LABORATORIO;FRAMINGHAM;73101
1064;ADEL PLUS X 50 CAPS - NATIER;LABORATORIO;NATIER;15551
1065;YOGURT ARANDANOS - QU;FRESCOS Y CONGELADOS;QU;3299
1066;QUINOA ROJA SEMILLAS - GRANEL;SEMILLAS;GRANEL;21165
1067;GARBANZOS - GRANEL;GRANOS Y LEGUMBRES;GRANEL;5818
1068;HIERBAS GRANEL EUCALIPTUS;HIERBAS MEDICINALES;GRANEL;30960
1069;MANZANILLA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3691
107;NUGGETS ESPINACA X 325GR - NATURALRROZ;VEGANOS;NATURALRROZ;6728
1070;MENTA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4153
1071;SEN HOJAS - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2943
1072;MATICO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3166
1073;PASIONARIA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2725
1074;VALERIANA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;7365
1075;CUASIA - HERBOTECA - PALO AMARGO;HIERBAS MEDICINALES;HERBOTECA;2832
1076;CEDRON - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2844
1077;AMARGON - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2401
1078;MELISA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2801
1079;BOLDO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3274
108;VEGAN BURGUER LENTEJAS Y PIMENTON FLOWPACK X 2 - NATURALRROZ;VEGANOS;NATURALRROZ;1813
1080;AMBAY - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;1857
1081;VALERIANA X 20 COMP - GARDEN HOUSE;LABORATORIO;GARDEN HOUSE;14444
1082;POWER BRONZE X 30 COMP - GARDEN HOUSE;LABORATORIO;GARDEN HOUSE;13248
1083;NERVOCALM X 20 COMP - GARDEN HOUSE;LABORATORIO;GARDEN HOUSE;19091
1084;PERFECT SUN X 10 COMP - BIOFIT;LABORATORIO;BIOFIT;2542
1085;GLUCOSA - HERBOTECA;REPOSTER�A;HERBOTECA;1797
1086;BURRO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3857
1087;CARQUEJA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2580
1088;CALENDULA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2755
1089;TILO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3784
109;MELAZA DE CA�A EL NATURALISTA X 500 GRS - EL NATURALISTA;EDULCORANTES;EL NATURALISTA;8496
1090;GLUTATION x 50 CAPS - NATIER;LABORATORIO;NATIER;57623
1091;BRONSOL X 30 CAP - VITAMIN WAY;LABORATORIO;VITAMIN WAY;15498
1092;PIMIENTA BLANCA GRANO SIN TACC-DICOMERE;SIN TACC;DICOMERE;2753
1093;HIERBAS GRANEL ALFALFA;HIERBAS MEDICINALES;GRANEL;14485
1094;CRACKERS CLASICAS X 150GR - SMAMS;SIN TACC;SMAMS;6472
1095;PATEGRAS FETA X 150GR - SHEESE (x U.);VEGANOS;SHEESE;3319
1096;CURCUMA RAIZ - GRANEL;ESPECIAS Y CONDIMENTOS;GRANEL;37882
1097;BOCADITO MARROC GRANEL - EL TURISTA;REPOSTER�A;EL TURISTA;66555
1098;HELADO FRUTILLA Y ROSAS X 370GR - HAULANI;FRESCOS Y CONGELADOS;HAULANI;15442
1099;GALLETAS LIMON BA�ADAS CON CHOCOLATE - ANGIOLA;SIN TACC;ANGIOLA;4413
11;ZARAGATONA MOLIDA - GRANEL;SEMILLAS;GRANEL;79164
110;TORTA DE FRUTAS EL NATURALISTA - EL NATURALISTA;VARIOS;EL NATURALISTA;4562
1100;HIERBAS GRANEL BARDANA;HIERBAS MEDICINALES;GRANEL;33118
1101;TINTURA MADRE CALENDULA - DROGUERIA ARGENTINA;LABORATORIO;DROGUERIA ARGENTINA;9045
1102;PANQUEQUES - PANYUCA;SIN TACC;PANYUCA;8779
1103;YOGURT NATURAL S/AZUCAR - QU;FRESCOS Y CONGELADOS;QU;3411
1104;YOGURT S/AZUCAR FRUTILLA - QU;FRESCOS Y CONGELADOS;QU;3411
1105;YOGURT NATURAL S/A GRANDE- QU;FRESCOS Y CONGELADOS;QU;5393
1106;YOGURT FRUTILLA - QU;FRESCOS Y CONGELADOS;QU;3299
1108;BARRITA PROTEICA PASTA MANI ARANDANO - INTEGRA;VARIOS;INTEGRA;2033
1109;MUFFIN NARANJA KETO Y SIN LACTOSA - ATIPICO;SIN TACC;ATIPICO;4828
111;GINKGO BILOBA EL NATURALISTA X 60 COMP - EL NATURALISTA;LABORATORIO;EL NATURALISTA;9431
1110;INSERTAR ARTICULO 2 -;ACEITES COMESTIBLE;;5924
1111;ORTIGA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3474
1112;ROMPEPIEDRAS - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;6013
1113;HIERBAS GRANEL CEPA DE CABALLO;HIERBAS MEDICINALES;GRANEL;30274
1114;COLA DE CABALLO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2044
1115;SEN FOLICULOS - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3816
1116;PRE MEZCLA PANADERIA Y REPOSTERIA X 450G - NATUZEN;SIN TACC;NATUZEN;5488
1117;MORINGA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;3973
1118;LAVANDA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;5223
1119;MALVA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;2831
112;REDUCTOR EL NATURALISTA - EL NATURALISTA;LABORATORIO;EL NATURALISTA;9834
1120;PEPERINA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4916
1121;PEZU�A DE VACA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;1967
1122;HIERBAS GRANEL CALENDULA;HIERBAS MEDICINALES;GRANEL;48492
1123;ESPINACA - GRANEL;HIERBAS MEDICINALES;GRANEL;155205
1124;YOGUBAR;SIN TACC;GALLO;1609
1125;HIERBAS GRANEL LAVANDA;HIERBAS MEDICINALES;GRANEL;110403
1126;HIERBAS GRANEL MIL HOMBRES;HIERBAS MEDICINALES;GRANEL;25063
1127;HIERBAS GRANEL LLANTEN;HIERBAS MEDICINALES;GRANEL;37667
1128;CHOCOLATE AGUILA BLANCO X 100GR;REPOSTER�A;AGUILA;7498
1129;OBLEA GALLO;SIN TACC;GALLO;1609
113;LEVADURA CALSA NATURAL X 200 GR - CALSA;LABORATORIO;CALSA;9779
1130;CHOCOBAR;SIN TACC;GALLO;1609
1131;OREGANO POLVO - GRANEL;ESPECIAS Y CONDIMENTOS;GRANEL;42481
1132;HIERBAS GRANEL CONGOROSA;HIERBAS MEDICINALES;GRANEL;25191
1133;HIERBAS GRANEL CASTA�O DE INDIAS;HIERBAS MEDICINALES;GRANEL;214122
1134;TORTITAS HOJA PANYUCA;SIN TACC;PANYUCA;4580
1135;INFUSION DETOX JENGIBRE MENTA SABOR LIMON - SAINT GOTTARD;INFUSIONES Y TES;SAINT GOTTARD;8115
1136;TORTITAS CHICHARRON PANYUCA;SIN TACC;PANYUCA;4411
1137;HIERBAS GRANEL AJENJO;HIERBAS MEDICINALES;GRANEL;21412
1138;HIERBAS GRANEL AJEDREA;HIERBAS MEDICINALES;GRANEL;48492
1139;TISANA DIGESTIVA - SAINT GOTTARD;INFUSIONES Y TES;SAINT GOTTARD;5604
114;LEVADURA CALSA QUESO X 200 GRS;LABORATORIO;CALSA;11761
1140;CAFE VERDE SAQ. ORIGINAL - SAINT GOTTARD;INFUSIONES Y TES;SAINT GOTTARD;4261
1141;INFUSION INVERNAL;INFUSIONES Y TES;SAINT GOTTARD;4928
1142;CHOCOLATE PARA BA�O SEMI AMARGO - AGUILA;REPOSTER�A;AGUILA;23606
1143;SALCHICHON VEGANO - VEGGIELAND;FRESCOS Y CONGELADOS;VEGGIE LAND;13895
1144;LAUREL - GRANEL;ESPECIAS Y CONDIMENTOS;GRANEL;49111
1145;ARROZ NEGRO GULE GULE - GULE GULE;ORGANICOS;GULE GULE;9333
1146;EXTRACTO DE VAINILLA NATURAL X 100CC - EL CASTILLO;REPOSTER�A;EL CASTILLO;9251
1147;LECHE DE ALMENDRAS X 1L - SILK;LECHES VEGETALES;silk;6389
1148;ACONDICIONADOR SOLIDO NORMAL JOJOBA Y HAMAMELIS X 60GR - BOTANIKA;COSMETICA;BOTANIKA;12873
1149;AJI MERKEN - GRANEL;ESPECIAS Y CONDIMENTOS;GRANEL;34080
115;LEVADURA CALSA NATURAL X 500 GRS - CALSA;LABORATORIO;CALSA;21072
1150;GARRAPI�ADA DE MANI - HERBOTECA;DELICATESSEN;HERBOTECA;15561
1151;HIERBAS GRANEL PETALOS DE ROSA;HIERBAS MEDICINALES;GRANEL;114132
1152;HIERBAS GRANEL JAZMIN;HIERBAS MEDICINALES;GRANEL;96794
1153;HIERBAS GRANEL ZARZAPARRILLA;HIERBAS MEDICINALES;GRANEL;24229
1154;LUGOL - QUIMICA JUJUY;LABORATORIO;QU�MICA JUJUY;15407
1155;CLAVO DE OLOR MOLIDO;ESPECIAS Y CONDIMENTOS;GRANEL;153474
1156;MEZCLA AROMATICO P/ MATE - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1157;MEZCLA VARICES - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4637
1158;MEZCLA DIGESTIVO ESTOMACAL;HIERBAS MEDICINALES;HERBOTECA;4127
1159;MEZCLA HEMORROIDES - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4242
116;LEVADURA TITAN X 200 GRS - TITAN;LABORATORIO;TITAN;20018
1160;YOGURT FRUTOS DEL BOSQUE S/AZUCAR - QU;FRESCOS Y CONGELADOS;QU;3299
1161;GALLETA LIMON SIN AZUCAR - ANGIOLA;SIN TACC;ANGIOLA;2935
1162;ADAPTOGENO TONICO NEURO X 60CC -SUPPLY;LABORATORIO;SUPPLY;26039
1163;SPIRULINA VITAMINWAY X 60 - VITAMIN WAY;LABORATORIO;VITAMIN WAY;11450
1164;MEZCLA DIURETICO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1165;MEZCLA NUEVE YUYOS - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1166;MEZCLA ENFERMEDADES PULMONARES - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1167;MEZCLA DEPURATIVO DE SANGRE;HIERBAS MEDICINALES;HERBOTECA;4127
1168;MEZCLA ACIDO URICO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1169;MEZCLA SEDANTE - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
117;SAL EL NATURALISTA SIN SODIO NATURAL - EL NATURALISTA;VARIOS;EL NATURALISTA;4465
1170;MEZCLA DEL NI�O - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1171;MEZCLA HIGADO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1172;MEZCLA PARASITOS - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1173;MEZCLA COLITIS - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1174;MEZCLA RAICES DEPURATIVAS - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4757
1175;MEZCLA ADELGAZANTE - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1176;MEZCLA DIABETES - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1177;MEZCLA PARA MEJORAR EL CUTIS - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1178;MEZCLA PRESION ALTA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1179;MEZCLA LAXANTE - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
118;SAL EL NATURALISTA SIN SODIO AJO - EL NATURALISTA;VARIOS;EL NATURALISTA;4465
1180;MEZCLA ASMA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1181;MEZCLA GASTRITIS - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1182;MEZCLA VIGORIZANTE - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1183;MEZCLA PARA LECHE MATERNA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1184;MEZCLA REGULADOR FEMENINO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1185;MEZCLA ENFERMEDADES CORAZON - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1186;MEZCLA INCONTINENCIA ORINA - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1187;MEZCLA GARGARAS BUCHES - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1188;MEZCLA ANGUSTIA CANSANCIO - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
1189;MEZCLA ALERGIAS - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
119;SAL EL NATURALISTA SIN SODIO CEBOLLA - EL NATURALISTA;VARIOS;EL NATURALISTA;4465
1190;MEZCLA ENFERMEDADES DE OJOS - HERBOTECA;HIERBAS MEDICINALES;HERBOTECA;4127
